Empresa;Activos;Ingresos;Utilidad Neta
Industria manufacturera de partes imapar sas;2.425.048;108.934;21.740
No encontrado;2.425.048;108.934;21.740
Alpha ingenieria s a s;2.873.370;423.609;303.211
No encontrado;2.873.370;423.609;303.211
Gcp colombia s.a;23.033.148;30.403.171;3.388.254
No encontrado;23.033.148;30.403.171;3.388.254
Servi-metal sas;5.116.035;15.713.674;15.365
No encontrado;5.116.035;15.713.674;15.365
Stepan colombia sas;96.679.288;168.530.054;2.623.520
No encontrado;96.679.288;168.530.054;2.623.520
Promotora fuentepiedra s.a.s.;49.774.322;1.262.067;159.615
No encontrado;49.774.322;1.262.067;159.615
Acerod metales y mallas ltda;11.236.202;16.150.887;1.040.144
No encontrado;11.236.202;16.150.887;1.040.144
No encontrado;No encontrado;No encontrado;No encontrado
Construdiseños agroequipos comercial conacom s.a.s.;6.932.182;2.543.332;189.814
No encontrado;6.932.182;2.543.332;189.814
Superoriente sa;10.501.702;75.454.521;784.521
No encontrado;10.501.702;75.454.521;784.521
Dario henao mejia sas;8.626.166;14.297.835;381.534
No encontrado;8.626.166;14.297.835;381.534
Descafeinadora colombiana sas;82.607.118;148.439.973;17.649.278
No encontrado;82.607.118;148.439.973;17.649.278
Manuel gaitan e hijos cia s en c;23.678.289;25.483.860;150.824
No encontrado;23.678.289;25.483.860;150.824
Su tractor sas;26.421.559;35.646.956;2.421.306
No encontrado;26.421.559;35.646.956;2.421.306
Laboratorios best s.a;33.269.815;27.703.619;5.127.942
No encontrado;33.269.815;27.703.619;5.127.942
Minerales exclusivos sas;11.693.446;16.760.591;843.565
No encontrado;11.693.446;16.760.591;843.565
Construcciones kab sas;42.911.510;2.593.339;151.121
No encontrado;42.911.510;2.593.339;151.121
Encofrados fejam ltda;37.518.743;1.582.091;662.060
No encontrado;37.518.743;1.582.091;662.060
No encontrado;No encontrado;No encontrado;No encontrado
Agencia de aduanas servicios integrales de comercio exterior sas nivel 1;4.268.888;3.497.572;313.525
No encontrado;4.268.888;3.497.572;313.525
Ahora s.a.s. servicios temporales;11.832.361;67.217.031;254.117
No encontrado;11.832.361;67.217.031;254.117
Asesorias garces y cia s en c;7.796.161;801.264;132.704
No encontrado;7.796.161;801.264;132.704
Tambores industriales sas;4.026.864;2.182.814;30.455
No encontrado;4.026.864;2.182.814;30.455
Flor gres s.a.s.;5.903.989;6.293.297;219.350
No encontrado;5.903.989;6.293.297;219.350
Persianas alfa s.a:;11.544.101;8.695.877;385.862
No encontrado;11.544.101;8.695.877;385.862
Jokemic asociados s en c;3.778.765;836.314;373.014
No encontrado;3.778.765;836.314;373.014
Industrias aliadas s.a.s.;102.997.680;259.166.577;27.009.387
No encontrado;102.997.680;259.166.577;27.009.387
Servimedios sas;13.051.444;20.686.472;2.016.507
